,metric,variant,strategy,window,value,type
0,drift,baseline,penultimate,2021-03-01,3.163333449523301,absolute
1,drift,baseline,penultimate,2023-01-01,3.1259048797313,absolute
2,drift,baseline,penultimate,2022-10-01,3.090326306602567,absolute
3,drift,baseline,penultimate,2021-02-01,3.0413460595668447,absolute
4,drift,baseline,penultimate,2023-03-01,2.898131100329207,absolute
5,drift,baseline,penultimate,2022-10-01,2.276691856258378,delta
6,drift,baseline,penultimate,2021-02-01,1.8759984065861572,delta
7,drift,baseline,penultimate,2020-02-01,1.6999873450898146,delta
8,drift,baseline,penultimate,2022-11-01,1.4159912584437153,delta
9,drift,baseline,penultimate,2021-04-01,1.4147680601549024,delta
10,drift,baseline,last4_concat,2021-03-01,3.374868159843156,absolute
11,drift,baseline,last4_concat,2023-01-01,3.2859522174045765,absolute
12,drift,baseline,last4_concat,2022-10-01,3.2207888215303613,absolute
13,drift,baseline,last4_concat,2020-06-01,3.052968536701172,absolute
14,drift,baseline,last4_concat,2021-02-01,2.957654867998662,absolute
15,drift,baseline,last4_concat,2022-10-01,2.263298318931221,delta
16,drift,baseline,last4_concat,2020-02-01,1.617841073160947,delta
17,drift,baseline,last4_concat,2021-04-01,1.5005721490283674,delta
18,drift,baseline,last4_concat,2021-02-01,1.417877187662165,delta
19,drift,baseline,last4_concat,2021-10-01,1.3566698022616852,delta
20,drift,dapt,penultimate,2022-10-01,2.6818613531834035,absolute
21,drift,dapt,penultimate,2019-11-01,2.5606143600331093,absolute
22,drift,dapt,penultimate,2023-01-01,2.5364362705642,absolute
23,drift,dapt,penultimate,2021-02-01,2.4597901277546854,absolute
24,drift,dapt,penultimate,2021-09-01,2.4532436632895083,absolute
25,drift,dapt,penultimate,2022-10-01,2.108096734905673,delta
26,drift,dapt,penultimate,2022-06-01,1.6025643953397903,delta
27,drift,dapt,penultimate,2022-07-01,1.5940836919571475,delta
28,drift,dapt,penultimate,2021-02-01,1.472734145115154,delta
29,drift,dapt,penultimate,2021-09-01,1.311611222219856,delta
30,drift,dapt,last4_concat,2022-10-01,2.823736194018157,absolute
31,drift,dapt,last4_concat,2023-01-01,2.675074675182916,absolute
32,drift,dapt,last4_concat,2019-11-01,2.56991056762745,absolute
33,drift,dapt,last4_concat,2021-09-01,2.5463669808437004,absolute
34,drift,dapt,last4_concat,2020-06-01,2.530802106570502,absolute
35,drift,dapt,last4_concat,2022-10-01,2.2469634771932165,delta
36,drift,dapt,last4_concat,2022-06-01,1.6051848876275039,delta
37,drift,dapt,last4_concat,2021-09-01,1.5123200900929419,delta
38,drift,dapt,last4_concat,2021-02-01,1.276686164043943,delta
39,drift,dapt,last4_concat,2022-07-01,1.2729524285220606,delta
