,type,dim,variant,strategy,window,val,extum
0,centroid,funcional,baseline,penultimate,2019-08-01,0.0,max
1,centroid,funcional,baseline,penultimate,2019-08-01,0.0,min
2,centroid,social,baseline,penultimate,2019-08-01,0.0,max
3,centroid,social,baseline,penultimate,2019-08-01,0.0,min
4,centroid,afectiva,baseline,penultimate,2019-08-01,0.0,max
5,centroid,afectiva,baseline,penultimate,2019-08-01,0.0,min
6,centroid,funcional,dapt,penultimate,2019-08-01,0.0,max
7,centroid,funcional,dapt,penultimate,2019-08-01,0.0,min
8,centroid,social,dapt,penultimate,2019-08-01,0.0,max
9,centroid,social,dapt,penultimate,2019-08-01,0.0,min
10,centroid,afectiva,dapt,penultimate,2019-08-01,0.0,max
11,centroid,afectiva,dapt,penultimate,2019-08-01,0.0,min
12,centroid,funcional,baseline,last4_concat,2019-08-01,0.0,max
13,centroid,funcional,baseline,last4_concat,2019-08-01,0.0,min
14,centroid,social,baseline,last4_concat,2019-08-01,0.0,max
15,centroid,social,baseline,last4_concat,2019-08-01,0.0,min
16,centroid,afectiva,baseline,last4_concat,2019-08-01,0.0,max
17,centroid,afectiva,baseline,last4_concat,2019-08-01,0.0,min
18,centroid,funcional,dapt,last4_concat,2019-08-01,0.0,max
19,centroid,funcional,dapt,last4_concat,2019-08-01,0.0,min
20,centroid,social,dapt,last4_concat,2019-08-01,0.0,max
21,centroid,social,dapt,last4_concat,2019-08-01,0.0,min
22,centroid,afectiva,dapt,last4_concat,2019-08-01,0.0,max
23,centroid,afectiva,dapt,last4_concat,2019-08-01,0.0,min
