type,dim,variant,strategy,condition,window,val,extum
subspace,funcional,baseline,penultimate,raw,2021-02-01,0.6445838611664358,max
subspace,social,baseline,penultimate,raw,2021-01-01,0.5135998698770279,max
subspace,afectiva,baseline,penultimate,raw,2023-01-01,0.3588842582103985,max
subspace,funcional,dapt,penultimate,raw,2023-01-01,0.4720716634682698,max
subspace,social,dapt,penultimate,raw,2021-02-01,0.4701169031683337,max
subspace,afectiva,dapt,penultimate,raw,2020-12-01,0.4212941493734962,max
subspace,funcional,baseline,last4_concat,raw,2021-02-01,0.5511392225277246,max
subspace,social,baseline,last4_concat,raw,2021-02-01,0.4328485532491202,max
subspace,afectiva,baseline,last4_concat,raw,2023-01-01,0.2972096814199679,max
subspace,funcional,dapt,last4_concat,raw,2020-04-01,0.3568082800136669,max
subspace,social,dapt,last4_concat,raw,2020-12-01,0.3623440298129081,max
subspace,afectiva,dapt,last4_concat,raw,2021-02-01,0.3082676763782061,max
subspace,funcional,baseline,penultimate,corrected,2021-01-01,0.653576405731013,max
subspace,social,baseline,penultimate,corrected,2020-12-01,0.3493350216896809,max
subspace,afectiva,baseline,penultimate,corrected,2020-12-01,0.332596370356044,max
subspace,funcional,dapt,penultimate,corrected,2021-03-01,0.5158403503783694,max
subspace,social,dapt,penultimate,corrected,2021-02-01,0.4751812173106956,max
subspace,afectiva,dapt,penultimate,corrected,2020-12-01,0.3192318512503468,max
subspace,funcional,baseline,last4_concat,corrected,2021-01-01,0.5579776767640104,max
subspace,social,baseline,last4_concat,corrected,2021-02-01,0.3571240057803477,max
subspace,afectiva,baseline,last4_concat,corrected,2020-04-01,0.2958400004305614,max
subspace,funcional,dapt,last4_concat,corrected,2021-03-01,0.3713776550994582,max
subspace,social,dapt,last4_concat,corrected,2021-01-01,0.3033017227564939,max
subspace,afectiva,dapt,last4_concat,corrected,2023-01-01,0.2560592968442708,max
