window_end_month,drift_baseline_penultimate,procrustes_baseline_penultimate,outlier_reason,variant,strategy,drift_baseline_last4_concat,procrustes_baseline_last4_concat,drift_dapt_penultimate,procrustes_dapt_penultimate,drift_dapt_last4_concat,procrustes_dapt_last4_concat
2021-02-01,3.0413460595668447,3.669342666948489, High Procrustes,baseline,penultimate,,,,,,
2021-03-01,3.163333449523301,3.3231807415161465,High Drift,baseline,penultimate,,,,,,
2021-06-01,2.4771688604984003,3.4221873186696863, High Procrustes,baseline,penultimate,,,,,,
2023-01-01,3.1259048797313,2.9319694696260346,High Drift,baseline,penultimate,,,,,,
2021-02-01,,, High Procrustes,baseline,last4_concat,2.957654867998662,3.891602035779161,,,,
2021-03-01,,,High Drift,baseline,last4_concat,3.374868159843156,3.655178151043996,,,,
2021-05-01,,, High Procrustes,baseline,last4_concat,2.827084993602708,3.7976525121804494,,,,
2023-01-01,,,High Drift,baseline,last4_concat,3.2859522174045765,3.255309769930599,,,,
2019-11-01,,,High Drift,dapt,penultimate,,,2.5606143600331093,2.3650038132680398,,
2021-02-01,,, High Procrustes,dapt,penultimate,,,2.4597901277546854,2.9274481323045976,,
2021-06-01,,, High Procrustes,dapt,penultimate,,,2.012961714052936,2.784218517850463,,
2022-10-01,,,High Drift,dapt,penultimate,,,2.6818613531834035,2.5429664538796084,,
2021-02-01,,, High Procrustes,dapt,last4_concat,,,,,2.360892972570151,3.0447948862977303
2021-06-01,,, High Procrustes,dapt,last4_concat,,,,,2.185640439142777,3.070859981096032
2022-10-01,,,High Drift,dapt,last4_concat,,,,,2.823736194018157,2.846815151220777
2023-01-01,,,High Drift,dapt,last4_concat,,,,,2.6750746751829158,2.7185156018993677
