name,domain,type
elcomercio,elcomercio.pe,national
gestion,gestion.pe,national
peru21,peru21.pe,national
trome,trome.com,national
ojo,ojo.pe,national
correo,diariocorreo.pe,national
depor,depor.com,national
bocon,elbocon.pe,national
larepublica,larepublica.pe,national
libero,libero.pe,national
popular,elpopular.pe,national
wapa,wapa.pe,national
expreso,expreso.com.pe,national
larazon,larazon.pe,national
diariouno,diariouno.pe,national
publimetro,publimetro.pe,national
elperuano,elperuano.pe,official
andina,andina.pe,agency
rpp,rpp.pe,radio_tv
exitosa,exitosanoticias.pe,radio_tv
americatv,americatv.com.pe,radio_tv
canaln,canaln.pe,radio_tv
panamericana,panamericana.pe,radio_tv
latina,latina.pe,radio_tv
atv,atv.pe,radio_tv
willax,willax.pe,radio_tv
ojopublico,ojo-publico.com,digital
idl,idl-reporteros.pe,digital
convoca,convoca.pe,digital
saludconlupa,saludconlupa.com,digital
utero,utero.pe,digital
lamula,lamula.pe,digital
wayka,wayka.pe,digital
sudaca,sudaca.pe,digital
elbuho,elbuho.pe,regional
laindustria,laindustria.pe,regional
eltiempo,eltiempo.pe,regional
diarioahora,diarioahora.pe,regional
prensaregional,prensaregional.pe,regional
losandes,losandes.com.pe,regional
diariocambio,diariocambio.com.pe,regional
diariosinfronteras,diariosinfronteras.com.pe,regional
